"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11471","submits the booking form successfully","chromium","2026-03-26","passed","2026-03-26","UI - Booking form","ui/booking.spec.ts","",""
"","76","health check is available","chromium","2026-03-26","passed","2026-03-26","API - Auth","api/auth.spec.ts","",""
"","4272","uploads a file in a deterministic local fixture","chromium","2026-03-26","passed","2026-03-26","UI - File upload fixture","ui/upload.spec.ts","",""
"","4492","logs in to the admin panel","chromium","2026-03-26","passed","2026-03-26","UI - Admin login","ui/admin-login.spec.ts","",""
"","6647","creates a booking by API and confirms it in the admin panel","chromium","2026-03-26","passed","2026-03-26","Integration - API booking data verified in UI","integration/booking-admin.spec.ts","",""
"","39","returns booking list for a room","chromium","2026-03-26","passed","2026-03-26","API - Booking lifecycle","api/booking.spec.ts","",""
"","7382","submits the contact form successfully","chromium","2026-03-26","passed","2026-03-26","UI - Contact form","ui/contact.spec.ts","",""
"","30","invalid token is rejected","chromium","2026-03-26","passed","2026-03-26","API - Auth","api/auth.spec.ts","",""
"","146","creates, fetches, updates and deletes a booking","chromium","2026-03-26","passed","2026-03-26","API - Booking lifecycle","api/booking.spec.ts","",""
"","20","rejects booking creation with invalid dates","chromium","2026-03-26","passed","2026-03-26","API - Booking lifecycle","api/booking.spec.ts","",""
"","42","login returns a valid session token","chromium","2026-03-26","passed","2026-03-26","API - Auth","api/auth.spec.ts","",""
"","1246","opens the front page and shows the booking and contact sections","chromium","2026-03-26","passed","2026-03-26","UI - Home page","ui/home.spec.ts","",""
